ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-22-009904	138162		028-16612			UBS Group AG
0001845843-22-000006	138142	0001832158	028-20416			SEAVIEW INVESTMENT MANAGERS LLC
0001172661-22-002084	138120	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002083	138101	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002082	138116	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002081	138092	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002080	138108	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002079	138115	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002078	138114	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002077	138086	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002076	138110	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002075	138098	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002074	138091	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002073	138084	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002072	138103	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002071	138094	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002070	138082	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002069	138107	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002068	138117	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002067	138113	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002066	138087	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002065	138112	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002064	138096	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002063	138106	0000721204	028-01190			RUSSELL FRANK CO/
0001172661-22-002062	138111	0001678434	028-17483			Emerald Acquisition Ltd.
0001172661-22-002061	138083	0001678434	028-17483			Emerald Acquisition Ltd.
0001172661-22-002058	138097	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002057	138104	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002056	138121	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002055	138100	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002054	138093	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002053	138119	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002052	138109	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002051	138122	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002050	138085	0001692234	028-17598			Russell Investments Group, Ltd.
0001172661-22-002049	138102	0001692234	028-17598			Russell Investments Group, Ltd.
