ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001711200-22-000004	0	385	1595434	
0001792851-22-000003	0	39	202152	N
0001172661-22-002098	0	1	8261	
0001085146-22-003230	0	19	110354	
0000779519-22-000004	0	56	74379	N
0001606587-22-001825	0	131	142966	N
0001085146-22-003221	0	53	94478	N
0001945037-22-000001	0	530	165525	N
0001062993-22-019806	9	18	9986586	N
0001062993-22-019804	9	17	10754260	N
0001946654-22-000003	0	61	130022	N
0001567619-22-017622	0	249	554728	N
0001420506-22-001821	0	22	391206	N
0001277557-22-000016	0	2162	643996	N
0001623632-22-001142	7	3770	36765341	
0001946654-22-000001	0	61	130022	N
0001694284-22-000003	0	77	1697000	N
0001766005-22-000005	0	30	192430	N
0001567619-22-017330	0	1	6462	N
0001085146-22-003210	5	2466	57828335	N
0001085146-22-003209	5	2558	71228680	N
0001818759-22-000004	0	238	505877	N
0001818759-22-000002	0	273	740624	N
0001818759-22-000003	0	275	736286	N
0001818759-22-000001	0	274	708704	N
0001398344-22-018440	0	148	1981347	
0001398344-22-018432	0	325	580016	
0001861159-22-000006	0	29	23553	N
0001398344-22-018426	0	169	1750988	
0001894203-22-000024	0	11	188120	N
0001894203-22-000023	0	13	200951	N
0001894203-22-000022	0	14	209371	N
0001213900-22-055032	0	756	85320052	
0001062993-22-019389	0	32	588310	N
0001894203-22-000020	0	14	198495	N
0001894203-22-000021	0	14	207416	N
0001894203-22-000019	0	17	208185	N
0001894203-22-000018	0	19	186485	N
0001894203-22-000017	0	19	211387	N
0001894203-22-000016	0	19	265053	N
0001894203-22-000015	0	21	296161	N
0001894203-22-000014	0	21	329238	N
0001104659-22-098513	1	6	159941	
0001104659-22-098510	1	1	9722	
0001104659-22-098508	1	4	63902	
0001104659-22-098507	1	6	170895	
0001104659-22-098506	1	3	38591	
0001104659-22-098505	1	6	298948	
0001104659-22-098504	1	2	21683	
0001085146-22-003201	0	39	112963	
0001580642-22-004563	0	508	1441497	
0001911266-22-000003	0	124	89725	N
0001172661-22-002084	0	57	4004862	
0001172661-22-002083	0	53	4003712	
0001172661-22-002082	0	53	3987066	
0001172661-22-002081	0	51	3435199	
0001172661-22-002080	0	56	4187479	
0001172661-22-002079	0	60	5118536	
0001172661-22-002078	0	61	4979041	
0001172661-22-002077	0	56	5580672	
0001172661-22-002076	0	59	6000821	
0001172661-22-002075	0	57	6845696	
0001172661-22-002074	0	56	7332039	
0001172661-22-002073	0	56	7284581	
0001172661-22-002072	0	57	8396873	
0001172661-22-002071	0	56	8613959	
0001172661-22-002070	0	55	8982492	
0001172661-22-002069	0	55	9354188	
0001172661-22-002068	0	53	10150339	
0001172661-22-002067	0	48	10128253	
0001172661-22-002066	0	48	10611024	
0001172661-22-002065	0	49	9951978	
0001172661-22-002064	0	48	10914167	
0001172661-22-002063	0	49	11571489	
0001172661-22-002062	0	47	12052413	
0001172661-22-002061	0	44	12659418	
0001172661-22-002058	0	42	14054913	
0001172661-22-002057	0	40	15078101	
0001172661-22-002056	0	38	15558389	
0001172661-22-002055	0	38	16585139	
0001172661-22-002054	0	41	18387145	
0001172661-22-002053	0	40	18046497	
0001172661-22-002052	0	41	18649223	
0001172661-22-002051	0	43	19846198	
0001172661-22-002050	0	44	17992557	
0001172661-22-002049	0	42	20828270	
0001172661-22-002048	0	40	21763229	
0001172661-22-002047	0	40	22274732	
0001172661-22-002046	0	42	28290963	
0001172661-22-002045	0	40	21341231	
0001172661-22-002044	0	42	26763871	
0001172661-22-002043	0	45	29153714	
0001172661-22-002042	0	44	37900379	
0001062993-22-019232	0	50	1373887	N
0001085146-22-003194	0	148	528182	N
0001062993-22-019226	0	45	1552390	N
0001062993-22-019220	0	55	1179137	N
0000036644-22-000006	0	534	1646018	N
0001085146-22-003193	0	666	21659194	N
0001085146-22-003192	0	671	25584781	N
0001085146-22-003191	0	108	2538745	N
0001085146-22-003190	0	100	171492	N
0001213900-22-054133	0	284	1301115	
0001213900-22-054129	0	246	1237122	
0001641866-22-000007	0	4561	3051163	
0001641866-22-000006	0	4564	3122777	
0001071061-22-000041	0	13	215871	Y
0001071061-22-000040	0	13	252582	Y
0001071061-22-000039	0	13	264974	Y
0001071061-22-000038	0	13	290383	Y
0001387131-22-009461	0	40	6472192	
0001599217-22-000009	0	141	1174849	N
0000950123-22-009769	18	12632	124640878	N
0001062993-22-019112	0	232	240836	N
0001802872-22-000005	0	188	128702	N
0001802872-22-000004	0	181	138485	Y
0001912226-22-000006	0	11	151214	
0001912226-22-000005	0	11	185318	
0001912226-22-000004	0	12	175659	
0001633861-22-000005	0	345	330676	
0001437749-22-021753	2	2	143907	N
0001437749-22-021752	2	2	191877	N
0001437749-22-021747	2	2	229776	N
0001914099-22-000006	0	60	176620	N
0001071061-22-000037	0	13	301705	Y
0001071061-22-000036	0	13	320695	Y
0001071061-22-000035	0	13	312246	Y
0001894203-22-000013	0	25	306606	N
0001894203-22-000012	0	25	335157	N
0001894203-22-000011	0	26	400806	N
0001894203-22-000010	0	28	484232	N
0001754960-22-000235	0	27	128667	N
0001754960-22-000234	0	41	133997	N
0001754960-22-000233	0	52	136995	N
0001616004-22-000005	0	72	199994	N
0001658020-22-000008	0	43	8326797	N
0000918504-22-000003	0	100	250705	N
0001420506-22-001816	0	2	56269	N
0001420506-22-001815	0	3	12760	N
0001420506-22-001814	0	3	42853	N
0001911726-22-000004	0	756	175706	N
0001454027-22-000006	2	2740	5057610	N
0000950123-22-009735	1	3	12324	N
0001613331-22-000003	0	183	741848	N
0001606587-22-001823	0	79	152960	N
0001085146-22-003176	0	48	132149	
0001112325-22-000010	0	195	6247594	
0001628280-22-023805	1	69	3230108	N
0001214659-22-010613	0	20	122898	
0001085146-22-003173	0	181	115607	N
0001085146-22-003172	0	190	132248	N
0001104659-22-095064	0	4	306849	
0001844142-22-000005	0	62	141942	N
0001816444-22-000004	0	82	333046000	N
0001640335-22-000004	0	146	134168	
0001606587-22-001821	0	81	127701	N
0001585047-22-000002	0	169	394446	N
0001104659-22-094642	0	2	130642	
0001104659-22-094583	0	2	70658	
0001104659-22-094579	0	2	228274	
0001104659-22-094576	0	1	217704	
0001104659-22-094571	0	4	164827	
0001104659-22-094508	0	2	124520	
0001104659-22-094506	0	1	357769	
0001104659-22-094507	0	3	660818	
0001398344-22-016955	0	58	196744	
0001398344-22-016952	0	58	213960	
0001398344-22-016912	0	59	223019	
0001398344-22-016720	1	618	564989	
0001398344-22-016682	1	617	639851	
0001760304-22-000004	0	65	282296	N
0000950123-22-009691	0	440	16911858	N
0001713458-22-000005	0	1105	812985	N
0001535811-22-000003	0	160	220599	N
0001609008-22-000003	0	39	280207	Y
0000919192-22-000015	0	3059	12872047	N
0001172661-22-002039	0	44	49002906	
0001172661-22-002038	0	44	41468210	
0001172661-22-002037	0	46	44106571	
0001172661-22-002036	0	45	44066309	
0001172661-22-002034	0	44	45977217	
0001008895-22-000003	0	172	458299	N
0000936938-22-000003	0	79	130160	N
0001071061-22-000034	0	14	333598	Y
0001567619-22-016618	0	1790	3515613	N
0001693750-22-000005	0	445	686287	Y
0001693750-22-000004	0	414	729265	Y
0001693789-22-000006	0	445	686287	N
0001693789-22-000005	0	414	729265	N
0001715862-22-000002	0	135	214412	N
0000892303-22-000015	0	777	2427244	N
0001901865-22-000009	0	42	131111	
0001616328-22-000003	0	264	821716	N
0001642160-22-000005	0	1826	548476	N
0001071061-22-000032	0	14	318147	Y
0001056488-22-000003	0	46	91913	N
0001493152-22-023809	0	12	103745	
0001697953-22-000008	0	452	1135213	N
0001855713-22-000008	0	271	720128	
0001062993-22-018602	0	5237	15506808	N
0001586767-22-000004	0	1163	660724	N
0001720777-22-000003	0	245	463133	N
0001785199-22-000005	0	29	86009	Y
0001008937-22-000004	0	189	570036	N
0001910666-22-000005	0	703	143419	N
0001058800-22-000010	0	158	798462	N
0000764068-22-000008	2	6290	282586262	N
0001736225-22-000007	3	1880	8155691	N
0001828776-22-000007	0	44	222557	N
0001567619-22-016490	2	239	1198069	N
0001906793-22-000002	0	90	203284000	N
0001763409-22-000003	1	43	101858	N
0000950123-22-009629	0	554	154596	N
0000919574-22-005198	1	23	102815	
0001862864-22-000006	0	1479	165356855	N
0001050463-22-000008	0	101	328583	
0001172661-22-002027	0	2308	3628950	
0001567619-22-016488	0	77	403750	N
0001943228-22-000001	0	112403	112403	N
0001315863-22-000596	0	1	3970	
0001455495-22-000003	0	323	408626	N
0000769993-22-000327	7	12052	442571414	N
0001085146-22-003163	0	53	871193	N
0001592613-22-000004	0	319	444222	N
0001632968-22-000003	0	143	651791	N
0000846797-22-000003	1	225	513281	N
0001567619-22-016444	0	19	496028	N
0001936249-22-000009	0	26	74346	N
0001542108-22-000004	0	98	653113	N
0001376474-22-000372	0	839	97732	N
0001567619-22-016429	0	39	10722127	N
0001085146-22-003159	0	208	1765920	N
0001085146-22-003158	0	129	166741	N
0000950123-22-009606	0	123	185737	N
0001095449-22-000092	0	256	138090	N
0001762776-22-000005	0	309	648773	N
0001698926-22-000003	0	127	153983	N
