,StrategyReturn,StrategyReturnPct
2022(Q2),0.15125449621114861,15.12544962111486
2022(Q3),-0.18727624166874812,-18.72762416687481
2022(Q4),0.12393524646053389,12.39352464605339
2023(Q1),0.07206893274667303,7.206893274667303
2023(Q2),0.09765963674044342,9.765963674044343
2023(Q3),0.09034418056074123,9.034418056074124
2023(Q4),0.12889224547579103,12.889224547579104
2024(Q1),0.06743694175478421,6.743694175478421
2024(Q2),0.23963236334670923,23.963236334670924
2024(Q3),0.1457410773831691,14.574107738316911
2024(Q4),0.0017544473200472588,0.17544473200472588
