ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001971024-23-000012	0	49	186298835	N
0001140361-23-014954	1	5	50261855	
0001140361-23-014939	1	5	56290636	
0001140361-23-014930	1	2338	4672628560	
0001140361-23-014928	1	2383	5944377191	
0001140361-23-014935	1	4	20947835	
0001140361-23-014952	1	5	55526947	
0001140361-23-014942	1	5	53009439	
0001140361-23-014933	1	4	21489364	
0001140361-23-014936	1	2412	5692618715	
0001140361-23-014925	1	2400	5105107463	
0001140361-23-014946	1	4	25320848	
0001140361-23-014972	1	5	40359513	
0001140361-23-014927	1	2417	5457846355	
0001140361-23-014934	1	2399	5443006588	
0001140361-23-014944	1	2567	6812127345	
0001140361-23-014926	1	2335	5477726591	
0001140361-23-014940	1	2379	6049925476	
0001140361-23-014963	1	5	44210764	
0001140361-23-014953	1	2131	2665802265	
0001140361-23-014949	1	5	55762009	
0001140361-23-014938	1	2399	6384798716	
0001140361-23-014973	1	2228	2086492751	
0001140361-23-014937	1	4	21754000	
0001140361-23-014951	1	2638	7080235507	
0001140361-23-014955	1	2242	2150906215	
0001140361-23-014966	1	2184	1994245033	
0001140361-23-014974	1	6	71907691	
0001140361-23-014947	1	2622	6222627095	
0001730574-23-000001	0	1	24573	N
0001969815-23-000001	0	61	260156692	N
0001967844-23-000001	0	60	78921033	N
0001799859-23-000004	0	103	140101932	N
0001799859-23-000003	0	15	109110	
0001799859-23-000002	0	93	132380416	N
0001719087-23-000004	1	303	207698568	N
0001172661-23-001550	0	254	90289258	
0001754960-23-000084	0	104	242487793	N
0001134283-23-000003	0	191	1883388235	N
0001214659-23-004275	0	63	49748967	
0001214659-23-004276	0	75	105530540	
0001214659-23-004281	0	90	163053632	
0001214659-23-004279	0	101	146445172	
0001214659-23-004277	0	75	119448405	
0001214659-23-004280	0	96	167335222	
0001214659-23-004282	0	84	124718349	
0001214659-23-004274	0	57	70358648	
0001214659-23-004273	0	78	110655036	
0001214659-23-004285	0	97	163883412	
0001214659-23-004283	0	47	64158852	
0001214659-23-004278	0	95	127458368	
0001214659-23-004284	0	64	86773079	
0001971024-23-000007	0	50	278770550	N
0001727783-23-000001	0	312	147	N
0001971024-23-000003	0	57	307386349	N
0001971024-23-000005	0	57	332325223	N
0001971024-23-000004	0	57	335153058	N
0001971024-23-000001	0	62	352143751	N
0001971024-23-000006	0	63	304731322	N
0001971024-23-000002	0	62	307216502	N
0001971024-23-000008	0	47	239505541	N
0001971024-23-000009	0	49	186298835	N
0001839882-23-007473	0	100	637453159	
0001839882-23-007472	1	4	10853785	
0001839882-23-007471	0	57	742445416	
0001839882-23-007469	1	3	4776194304	
0001961150-23-000023	0	2775	1202648386	N
0001961150-23-000022	0	2840	1532747853	N
0001961150-23-000021	0	2261	632545520	N
0001961150-23-000020	0	2307	672373717	N
0001961150-23-000019	0	2378	734494776	N
0001961150-23-000018	0	2410	870098120	N
0001961150-23-000017	0	2399	809482127	N
0001961150-23-000016	0	2613	1061298312	N
0001961150-23-000015	0	2728	1186834209	N
0001961150-23-000014	0	2831	1220719437	N
0001961150-23-000013	0	2843	1405963904	N
0001085146-23-001485	0	395	3722668195	N
0001214659-23-004139	0	179	171826800	
0001214659-23-004140	0	175	167952010	
0001214659-23-004144	0	220	171457347	
0001214659-23-004132	0	165	116558447	
0001214659-23-004141	0	190	137650918	
0001214659-23-004133	0	144	76063052	
0001214659-23-004135	0	152	111085035	
0001214659-23-004142	0	163	72549026	
0001214659-23-004143	0	176	95030760	
0001214659-23-004138	0	177	150884692	
0001214659-23-004134	0	126	54246154	
0001214659-23-004137	0	152	130616864	
0001214659-23-004136	0	138	123936207	
0001140361-23-013285	0	6	9229022	
0001140361-23-013284	0	6	9790665	
0001140361-23-013283	0	6	12097300	
0001140361-23-013281	0	6	11019796	
0001140361-23-013280	0	6	11477159	
0001140361-23-013279	0	6	12640488	
0001140361-23-013276	0	6	11897612	
0001140361-23-013274	0	6	11469847	
0001140361-23-013273	0	6	9838140	
0001140361-23-013272	0	6	9749394	
0001140361-23-013271	0	6	8449140	
0001140361-23-013269	0	5	9180248	
0001140361-23-013267	0	5	8611141	
0001213900-23-022243	0	586	2133716610	
0001140361-23-013159	1	2655	11307557673	
0001140361-23-013129	1	2178	9366021850	
0001140361-23-013124	0	2	3346883	
0001140361-23-013121	1	2458	8164140444	
0001140361-23-013118	1	2495	10224319827	
0001140361-23-013131	1	2125	7054039786	
0001140361-23-013147	1	2391	11446084947	
0001140361-23-013132	1	2189	8528106227	
0001140361-23-013127	1	2206	9007209187	
0001140361-23-013162	1	2692	12491227398	
0001140361-23-013145	1	2629	10844070059	
0001140361-23-013136	1	2166	9887652985	
0001140361-23-013120	0	5	8150548	
0001140361-23-013119	0	7	9540907	
0001140361-23-013123	1	2423	9102074964	
0001140361-23-013143	1	2331	10738802011	
0001140361-23-013139	1	2394	10645876825	
0001140361-23-013125	1	2142	9159486114	
0001140361-23-013122	0	8	9024205	
0001140361-23-013135	1	2187	8869484542	
0001140361-23-013154	1	2710	12147374750	
0001140361-23-013158	0	6	9556520	
0001140361-23-013151	1	2592	14651440767	
0001961150-23-000012	0	2940	1734586010	N
0001172661-23-001547	0	89	101792438	
0001961150-23-000011	0	2974	1954352162	N
0001961150-23-000010	0	3270	2289742453	N
0001961150-23-000009	0	3392	2580550488	N
0001961150-23-000008	0	3464	2666907541	N
0001387131-23-003869	0	1	166281	
0001387131-23-003868	0	1	184518	
0001599576-23-000002	0	131	581170591	N
0001062993-23-007349	0	4	157236031	N
0001062993-23-007347	0	6	148059355	N
0001062993-23-007345	0	8	163280652	N
0001062993-23-007344	0	9	202200242	N
0001062993-23-007342	0	12	217721051	N
0001961150-23-000007	0	3506	2964191968	N
0001961150-23-000006	0	3581	2929161017	N
0001961150-23-000005	0	3525	2434434973	N
0001967966-23-000001	0	17	131722163	N
0001967966-23-000004	0	17	116476934	N
0001967966-23-000005	0	23	140983819	N
0001967966-23-000003	0	15	97664790	N
0001967966-23-000002	0	16	121936783	N
0001961150-23-000004	0	3531	2359586501	N
0000950142-23-000722	0	1	50723323	
0000950142-23-000721	0	1	76444725	
0000950142-23-000720	0	1	133823235	
0000950142-23-000719	0	1	218721847	
0001626757-23-000002	0	65	117917336	N
0001967018-23-000001	0	121	285282882	N
0001213900-23-020216	0	1493	3569170710	
0001806820-23-000001	0	66	293894613	N
0001172661-23-001541	0	275	390104123	
0001172661-23-001540	0	221	282884096	
0001172661-23-001539	0	266	351069932	
0001172661-23-001538	0	255	350153407	
0001172661-23-001537	0	208	246745454	
0001172661-23-001536	0	261	358898304	
0001172661-23-001535	0	258	344821122	
0001172661-23-001534	0	281	404960928	
