ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001104659-21-087233	0	8	195516	
0000913760-21-000112	2	413	556746	
0001104659-21-086723	0	8	195764	
0001104659-21-086155	0	7	242671	
0001104659-21-085607	0	9	209407	
0001221073-21-000070	0	62	154068	
0001221073-21-000069	0	59	142434	
0001567619-21-012585	1	27	224906	N
0001104659-21-084949	0	9	231687	
0001104659-21-084657	0	9	235162	
0001567619-21-012524	0	12	948390	N
0000913760-21-000109	1	0	0	
0001867587-21-000016	0	199	580347374	N
0001867587-21-000015	0	165	572551521	N
0001867587-21-000014	0	152	461013281	N
0001867587-21-000013	0	148	354277629	N
0001080132-21-000004	0	83	212928	N
0001867587-21-000012	0	111	259341521	N
0001867587-21-000011	0	93	291103624	N
0001867587-21-000010	0	81	243622926	N
0001867587-21-000009	0	66	217186327	N
0001867587-21-000008	0	78	218015793	N
0001867587-21-000007	0	46	203522489	N
0001867587-21-000006	0	51	220009235	N
0001867587-21-000005	0	46	190721873	N
0001867587-21-000004	0	43	173165214	N
0001867587-21-000003	0	38	150998037	N
0001867587-21-000002	0	32	128910942	N
0001867587-21-000001	0	33	101645796	N
0001630064-21-000004	0	2	1594	N
0001657043-21-000005	0	1	22410	
0001657043-21-000004	0	11	837669	N
0001356783-21-000009	0	162	794241	N
0001104659-21-084014	0	9	235270	
0000950123-21-008082	0	3	1982221	N
0000950123-21-008081	0	1	1440926	N
0001505896-21-000004	0	113	115859	N
0001580642-21-002827	0	130	250779	
0001674623-21-000004	0	438	1002430	N
0001850996-21-000002	0	281	157373	N
0001866040-21-000006	0	112	109395	N
0001172661-21-001417	0	1658	29853725	
0001172661-21-001416	0	1384	19564775	
0001172661-21-001415	0	1306	15133349	
0001172661-21-001414	0	1107	6220307	
0001172661-21-001413	0	1375	18537511	
0001580642-21-002815	0	126	253364	
0001172661-21-001412	0	145	2207326	
0001134687-21-000006	0	74	194603	N
0001542108-21-000003	0	98	618024	N
0001104659-21-083157	0	9	251818	
0001420506-21-000830	0	34	459720709	N
0001864229-21-000002	0	337	179520	N
0001764754-21-000003	0	3117	3584380	N
0001104659-21-082029	0	10	199536	
0001082339-21-000002	0	442	1707654	N
0001815217-21-000002	0	53	184865	N
0001104659-21-081579	0	10	235573	
0000928052-21-000002	0	1143	3756610	N
0001862965-21-000003	0	44	92	N
0001866040-21-000004	0	111	112591	N
0001104659-21-080840	0	11	256080	
0000921895-21-001612	3	4	184694	
0000921895-21-001608	3	3	164273	
0001104659-21-080656	0	39	153492	Y
0001172661-21-001411	0	107	364028	
0001172661-21-001410	0	99	320547	
0001172661-21-001409	0	91	237615	
0001172661-21-001408	0	111	345725	
0001172661-21-001407	0	108	314466	
0001172661-21-001406	0	109	313989	
0001172661-21-001405	0	107	313142	
0001172661-21-001404	0	104	273657	
0001172661-21-001403	0	117	297864	
0001172661-21-001402	0	110	278088	
0001172661-21-001401	0	116	268476	
0001172661-21-001400	0	119	269512	
0001172661-21-001399	0	122	257473	
0001172661-21-001398	0	115	247288	
0001172661-21-001397	0	112	233827	
0001172661-21-001396	0	103	222994	
0001172661-21-001395	0	98	236083	
0001172661-21-001394	0	89	235217	
0001172661-21-001393	0	75	213216	
0001172661-21-001392	0	78	194144	
0001172661-21-001391	0	76	197507	
0001172661-21-001390	0	74	225679	
0001172661-21-001389	0	74	231480	
0001172661-21-001388	0	75	231133	
0001172661-21-001387	0	70	214719	
0001172661-21-001386	0	74	205314	
0001172661-21-001385	0	65	166747	
0001172661-21-001384	0	64	162233	
0000909012-21-000094	0	295	237083239	N
0000909012-21-000093	0	269	199972584	N
0000909012-21-000090	0	258	174023526	N
0001012975-21-000242	0	139	7928028	
0001104659-21-079304	0	10	277382	
0001754960-21-000101	0	109	113273	N
0001541596-21-000002	0	143	179344	N
0001704300-21-000005	0	279	140497	N
0001387131-21-006435	0	492	590680	
0001864910-21-000001	0	622	235107	N
0001085146-21-001827	0	86	250680	N
0001864229-21-000001	0	337	179520	N
0001754960-21-000099	0	58	143568	N
0001704300-21-000003	0	285	1710	N
0001398344-21-012594	0	227	334232	
0001398344-21-012591	0	225	356074	
0001420506-21-000828	0	25	142468	N
0000949509-21-000017	2	185	7184406	N
0000949509-21-000016	2	185	7184406	N
0001725547-21-000060	0	4	929	N
0001420506-21-000826	0	81	592328	N
