ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001070092-21-000016	2340	0000913760				StoneX Group Inc.
0001070092-21-000015	4028	0001070092				STONEX FINANCIAL INC.
0001650393-21-000004	4881	0000913760				StoneX Group Inc.
0000921895-21-001615	8790	0001867040				Gimbel Daniel Scott
0000921895-21-001614	6827	0001867040				Gimbel Daniel Scott
0000921895-21-001613	7356	0001867040				Gimbel Daniel Scott
0000921895-21-001611	2724	0001867040				Gimbel Daniel Scott
0000921895-21-001610	2739	0001867040				Gimbel Daniel Scott
0000921895-21-001609	8899	0001867040				Gimbel Daniel Scott
0001387131-21-006437	10027	0001005817	028-05097			TOMPKINS FINANCIAL CORP
0000949509-21-000017	3966	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000016	2179	0001597857	028-17875			Hartree Partners, LP
0000949509-21-000016	2178	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000017	3967	0001597857	028-17875			Hartree Partners, LP
0000950123-21-007400	5439		28-14388			BDT Capital Partners, LLC
0001859606-21-000010	3930	0001859606	028-21213			Optiver Holding B.V.
0001859606-21-000009	7686	0001859606	028-21213			Optiver Holding B.V.
0000947871-21-000622	6814	0001828929				B. Metzler seel. Sohn & Co. Holding AG
0000947871-21-000621	10919	0001828929				B. Metzler seel. Sohn & Co. Holding AG
0001710618-21-000002	10139	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001710618-21-000002	10140	0001086363	028-04293			BLACKROCK FINANCIAL MANAGEMENT INC/DE
0001710618-21-000002	10141	0001619390	028-16786			Graticule Asia Macro Advisors LLC
0001710618-21-000002	10142	0001519964	028-14472			MARSHALL WACE ASIA Ltd
0001710618-21-000002	10143	0001325091	028-11377			Marshall Wace North America L.P.
0001710618-21-000002	10144	0001318757	028-11304			MARSHALL WACE, LLP
0001710618-21-000002	10145	0001595951	028-20064			Emso Asset Management Ltd
0001567619-21-010687	3547	0000035442	028-00471			FIDUCIARY TRUST CO
0000949509-21-000015	2199	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000015	2200	0001597857	028-17875			Hartree Partners, LP
0000949509-21-000014	4766	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000014	4767	0001597857	028-17875			Hartree Partners, LP
0001493152-21-012126	8222	0001543170	028-16511			SPRUCE HOUSE INVESTMENT MANAGEMENT LLC
0001104659-21-068780	8754	0001259313	028-12990			Ares Management LLC
0001104659-21-068777	3181	0001259313	028-12990			Ares Management LLC
0001104659-21-068776	3658	0001259313	028-12990			Ares Management LLC
0001104659-21-068775	4574	0001259313	028-12990			Ares Management LLC
0001104659-21-068772	2050	0001259313	028-12990			Ares Management LLC
0001592412-21-000002	4431	0000720672				STIFEL FINANCIAL CORP
0000949509-21-000013	7277	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000013	7278	0001597857	028-17875			Hartree Partners, LP
0001178913-21-001785	3033	0001468428	028-15465			Psagot Investment House Ltd.
0001178913-21-001783	8052	0001468428	028-15465			Psagot Investment House Ltd.
0001178913-21-001781	4904	0001468428	028-15465			Psagot Investment House Ltd.
0001844495-21-000002	6791	0001504744	028-14008			Homrich & Berg
0001844495-21-000002	6792	0001533551	028-14868			Wellesley Asset Management
0001398344-21-011006	2174	0001859918				TECTONIC ADVISORS LLC
0000950123-21-007120	4761		028-01474			NWQ Investment Management Company, LLC
0000950123-21-007120	4762		028-05621			Santa Barbara Asset Management, LLC
0000950123-21-007120	4763		028-03676			Winslow Capital Management, LLC
0000950123-21-007120	4764		028-14498			Nuveen Asset Management, LLC
0001046192-21-000013	3927	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0000949509-21-000011	4023	0001692234	028-17598			Russell Investments Group, Ltd.
0000949509-21-000011	4024	0001597857	028-17875			Hartree Partners, LP
0001398344-21-011008	3422	0001859918				TECTONIC ADVISORS LLC
0001595888-21-000014	3500	0001595888	028-16162			JANE STREET GROUP, LLC
0001046192-21-000011	2678	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0000950123-21-007122	2774		028-14498			Nuveen Asset Management, LLC
0001046192-21-000010	2457	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001844495-21-000002	6790	0001845743	028-21103			FIRETHORN WEALTH PARTNERS, LLC
0001844495-21-000002	6789	0001720336				Berman Capital Advisors, LLC
0001844495-21-000002	6788	0001832274	028-20448			Sage Mountain Advisors LLC
0001844495-21-000002	6787	0001505896	028-14042			Coe Capital Management, LLC
0001844495-21-000002	6786	0001114667	028-05775			Brown Advisory LLC
0001844495-21-000002	6785	0001082491	028-04075			CONDOR CAPITAL MANAGEMENT
0001595888-21-000013	7358	0001595888	028-16162			JANE STREET GROUP, LLC
0000919574-21-003770	7663	0001358253	028-11896			TIG Advisors, LLC
0001046192-21-000012	7647	0001046192	028-10601			GREAT WEST LIFE ASSURANCE CO /CAN/
0001420506-21-000797	8141	0001816307	028-21010			SILVERARC CAPITAL MANAGEMENT, LLC
0001595888-21-000011	8257	0001595888	028-16162			JANE STREET GROUP, LLC
0000919574-21-003769	10036	0001358253	028-11896			TIG Advisors, LLC
